collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,inv,30,0.01,uniform,0.0,0.003,
cast19,inv,30,0.01,weighted,0.01,0.003,
cast19,inv,30,0.01,active_judge,0.01,0.003,
cast19,inv,30,0.01,strat_pilot,0.04,0.003,
cast19,inv,30,0.01,weighted_cv,0.0,0.003,
cast19,inv,30,0.01,active_cv,0.0,0.003,
cast19,inv,30,0.02,uniform,0.01,0.0,
cast19,inv,30,0.02,weighted,0.03,0.0,
cast19,inv,30,0.02,active_judge,0.01,0.0,
cast19,inv,30,0.02,strat_pilot,0.02,0.0,
cast19,inv,30,0.02,weighted_cv,0.03,0.0,
cast19,inv,30,0.02,active_cv,0.01,0.0,
cast19,inv,45,0.01,uniform,0.01,0.003,
cast19,inv,45,0.01,weighted,0.05,0.003,
cast19,inv,45,0.01,active_judge,0.01,0.003,
cast19,inv,45,0.01,strat_pilot,0.05,0.003,
cast19,inv,45,0.01,weighted_cv,0.05,0.003,
cast19,inv,45,0.01,active_cv,0.01,0.003,
cast19,inv,45,0.02,uniform,0.04,0.0,
cast19,inv,45,0.02,weighted,0.13,0.0,
cast19,inv,45,0.02,active_judge,0.06,0.0,
cast19,inv,45,0.02,strat_pilot,0.14,0.0,
cast19,inv,45,0.02,weighted_cv,0.1,0.0,
cast19,inv,45,0.02,active_cv,0.06,0.0,
cast19,inv,60,0.01,uniform,0.02,0.003,
cast19,inv,60,0.01,weighted,0.1,0.003,
cast19,inv,60,0.01,active_judge,0.05,0.003,
cast19,inv,60,0.01,strat_pilot,0.1,0.003,
cast19,inv,60,0.01,weighted_cv,0.1,0.003,
cast19,inv,60,0.01,active_cv,0.03,0.003,
cast19,inv,60,0.02,uniform,0.05,0.0,
cast19,inv,60,0.02,weighted,0.22,0.0,
cast19,inv,60,0.02,active_judge,0.13,0.0,
cast19,inv,60,0.02,strat_pilot,0.24,0.0,
cast19,inv,60,0.02,weighted_cv,0.21,0.0,
cast19,inv,60,0.02,active_cv,0.12,0.0,
cast19,inv,90,0.01,uniform,0.05,0.003,
cast19,inv,90,0.01,weighted,0.19,0.003,
cast19,inv,90,0.01,active_judge,0.08,0.003,
cast19,inv,90,0.01,strat_pilot,0.16,0.003,
cast19,inv,90,0.01,weighted_cv,0.2,0.003,
cast19,inv,90,0.01,active_cv,0.11,0.003,
cast19,inv,90,0.02,uniform,0.09,0.0,
cast19,inv,90,0.02,weighted,0.39,0.0,
cast19,inv,90,0.02,active_judge,0.22,0.0,
cast19,inv,90,0.02,strat_pilot,0.37,0.0,
cast19,inv,90,0.02,weighted_cv,0.36,0.0,
cast19,inv,90,0.02,active_cv,0.23,0.0,
