collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
antique,inv,5,0.01,uniform,0.02,0.0,0.5264300749550271,728.2233333333334,629.4733333333334,0.0,shared,full,t,0.013333333333333334,0.023333333333333334
antique,inv,5,0.01,uniform_nz,0.04666666666666667,0.0,0.35241104645140203,728.1733333333333,629.4733333333334,0.0,shared,full,t,0.03333333333333333,0.043333333333333335
antique,inv,5,0.01,weighted,0.22666666666666666,0.0,0.1298185994359951,728.27,629.4733333333334,0.0,shared,full,t,0.18666666666666668,0.22
antique,inv,5,0.01,active_judge,0.08333333333333333,0.0,0.3466040873605649,728.5033333333333,629.4733333333334,0.0,shared,full,t,0.056666666666666664,0.08333333333333333
antique,inv,5,0.01,strat_pilot,0.13666666666666666,0.0,0.1294089116619406,727.4133333333333,629.4733333333334,0.0,shared,full,t,0.10666666666666667,0.13
antique,inv,5,0.01,weighted_cv,0.15666666666666668,0.0,0.17022317017338348,728.09,629.4733333333334,0.0,shared,full,t,0.12666666666666668,0.15666666666666668
antique,inv,5,0.01,active_cv,0.013333333333333334,0.0,0.4929911262285045,728.1933333333334,629.4733333333334,0.0,shared,full,t,0.01,0.013333333333333334
antique,inv,5,0.01,weighted_cvl,0.19333333333333333,0.0,0.12987108792147892,727.85,629.4733333333334,0.0,shared,full,t,0.15,0.17666666666666667
antique,inv,5,0.02,uniform,0.04666666666666667,0.0,0.5487369324969723,731.45,630.4733333333334,0.0,shared,full,t,0.043333333333333335,0.05
antique,inv,5,0.02,uniform_nz,0.06666666666666667,0.0,0.36422949110490227,730.42,630.4733333333334,0.0,shared,full,t,0.05,0.06333333333333334
antique,inv,5,0.02,weighted,0.27,0.0,0.12935904748319174,728.7033333333334,630.4733333333334,0.0,shared,full,t,0.22333333333333333,0.25333333333333335
antique,inv,5,0.02,active_judge,0.06,0.0,0.42065788865559844,730.21,630.4733333333334,0.0,shared,full,t,0.03666666666666667,0.06333333333333334
antique,inv,5,0.02,strat_pilot,0.23333333333333334,0.0,0.13198497926950598,730.05,630.4733333333334,0.0,shared,full,t,0.18,0.21666666666666667
antique,inv,5,0.02,weighted_cv,0.18333333333333332,0.0,0.17085757569263713,729.98,630.4733333333334,0.0,shared,full,t,0.14333333333333334,0.18333333333333332
antique,inv,5,0.02,active_cv,0.023333333333333334,0.0033333333333333335,0.49328475179837983,729.9966666666667,630.4733333333334,0.0,shared,full,t,0.01,0.023333333333333334
antique,inv,5,0.02,weighted_cvl,0.26,0.0,0.1288444859768562,730.1733333333333,630.4733333333334,0.0,shared,full,t,0.21,0.25
