collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
trec-covid,rr,45,0.01,uniform,0,3753,1645,1,0,0.0,0.9629970637344716,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.9604371501019289,0.965556977367014,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,uniform_nz,0,3064,1645,1,0,0.0,0.5397851598742885,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.5387925488460363,0.5407777709025411,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,weighted,0,3064,1645,1,0,0.0,0.28564178886436736,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2853128306560305,0.28597074707270426,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,active_judge,0,3061,1645,1,0,0.0,0.660067875207042,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.6650696786479898,0.6550660717660943,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,strat_pilot,0,3064,1645,1,0,0.0,0.28601962351070725,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2857646839468127,0.2862745630746018,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,weighted_cv,0,3064,1645,1,0,0.0,0.10506768270054448,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.10336936518257978,0.10676600021850913,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,active_cv,0,3064,1645,1,0,0.0,0.14545900006091045,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.14389897066701218,0.14701902945480874,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,weighted_cvl,0,3064,1645,1,0,0.0,0.19026442381847214,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,73,29,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.17597321931335858,0.20455562832358565,0.2853128306560305,0.28597074707270426
trec-covid,rr,45,0.01,uniform,1,3819,1651,1,0,0.0,1.1303932698154382,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,1.1192935891877165,1.1414929504431597,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,uniform_nz,1,3121,1651,1,0,0.0,0.6060763768694531,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.6003252758405881,0.6118274778983184,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,weighted,1,3121,1651,1,0,0.0,0.3105414670197777,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.30478179480840184,0.3163011392311536,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,active_judge,1,3116,1651,1,0,0.0,0.6883237295485172,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.6713938787258245,0.7052535803712097,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,strat_pilot,1,3121,1651,1,0,0.0,0.31269448010577555,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.3069741358885831,0.31841482432296797,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,weighted_cv,1,3121,1651,1,0,0.0,0.09975127646797735,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.09598898229727412,0.10351357063868061,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,active_cv,1,3117,1651,1,0,0.0,0.10614292872997214,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.09134173430664858,0.12094412315329572,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,weighted_cvl,1,3121,1651,1,0,0.0,0.09848338059510933,0.3105414670197777,0.08395737058005871,0.013433465943242401,0.01,50,20,75,29,0.08395737058005874,0.08395737058005871,0.013433465943242401,0.09177643853675817,0.014515457247570532,0.09466188469566142,0.10230487649455722,0.30478179480840184,0.3163011392311536
trec-covid,rr,45,0.01,uniform,2,3846,1716,1,0,0.0,1.449124679205273,0.3340218573032064,0.08310171001332503,0.012016752816931993,0.01,50,20,74,29,0.08187541715877783,0.08534321199029235,0.01308470590694946,0.08310171001332503,0.012016752816931993,1.444562112942843,1.453687245467703,0.33451092780037645,0.33353278680603626
trec-covid,rr,45,0.01,uniform_nz,2,3100,1716,1,0,0.0,0.7992356427088725,0.3340218573032064,0.08310171001332503,0.012016752816931993,0.01,50,20,74,29,0.08187541715877783,0.08534321199029235,0.01308470590694946,0.08310171001332503,0.012016752816931993,0.7972248209525942,0.8012464644651507,0.33451092780037645,0.33353278680603626
