collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
trec-covid,rr,15,0.01,uniform,0,1645,0.9629970637344716,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,uniform_nz,0,1645,0.5397851598742885,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,weighted,0,1645,0.28564178886436736,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,active_judge,0,1645,0.660067875207042,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,strat_pilot,0,1645,0.28601962351070725,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,weighted_cv,0,1645,0.10506768270054448,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,active_cv,0,1645,0.14545900006091045,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,weighted_cvl,0,1645,0.19026442381847214,0.28564178886436736,0.0649934121367802,50,1
trec-covid,rr,15,0.01,uniform,1,1651,1.1303932698154382,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,uniform_nz,1,1651,0.6060763768694531,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,weighted,1,1651,0.3105414670197777,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,active_judge,1,1651,0.6883237295485172,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,strat_pilot,1,1651,0.31269448010577555,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,weighted_cv,1,1651,0.09975127646797735,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,active_cv,1,1651,0.10614292872997214,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,weighted_cvl,1,1651,0.09848338059510933,0.3105414670197777,0.08395737058005871,50,1
trec-covid,rr,15,0.01,uniform,2,1716,1.449124679205273,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,uniform_nz,2,1716,0.7992356427088725,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,weighted,2,1716,0.3340218573032064,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,active_judge,2,1716,0.8082468566956986,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,strat_pilot,2,1716,0.3416628960124812,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,weighted_cv,2,1716,0.13581134326446045,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,active_cv,2,1716,0.1781050779684195,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,weighted_cvl,2,1716,0.222362737063336,0.3340218573032064,0.08310171001332503,50,1
trec-covid,rr,15,0.01,uniform,3,1667,1.836016118284676,0.3008735387488767,0.0601837817282638,50,1
trec-covid,rr,15,0.01,uniform_nz,3,1667,0.8772289175017128,0.3008735387488767,0.0601837817282638,50,1
trec-covid,rr,15,0.01,weighted,3,1667,0.3008735387488767,0.3008735387488767,0.0601837817282638,50,1
trec-covid,rr,15,0.01,active_judge,3,1667,0.7518944605993174,0.3008735387488767,0.0601837817282638,50,1
trec-covid,rr,15,0.01,strat_pilot,3,1667,0.3050575627630249,0.3008735387488767,0.0601837817282638,50,1
trec-covid,rr,15,0.01,weighted_cv,3,1667,0.13631493709856496,0.3008735387488767,0.0601837817282638,50,1
